source,target,weight
上海,济宁,0.00508646998982706
上海,海口,0.00169548999660902
上海,海口,0.004747371990505256
上海,海口,0.006103763987792472
上海,海口,0.011190233977619531
上海,淄博,0.004408273991183452
上海,淮北,0.001017293997965412
上海,淮南,0.002373685995252628
上海,淮安,0.004747371990505256
上海,淮安,0.0084774499830451
上海,淮安,0.01017293997965412
上海,深圳,0.11631061376737878
上海,深圳,0.18141742963716515
上海,深圳,0.35910478128179046
上海,深圳,0.5530688368938623
上海,温州,0.008816547982366904
上海,温州,0.025771447948457104
上海,温州,0.04001356391997287
上海,温州,0.05798575788402848
上海,湖州,0.009494743981010512
上海,湖州,0.030857917938284164
上海,湖州,0.04035266191929467
上海,湖州,0.07968802984062394
上海,滁州,0.00033909799932180403
上海,滁州,0.008138351983723296
上海,滁州,0.006442861987114276
上海,滨州,0.00033909799932180403
上海,潍坊,0.00033909799932180403
上海,潍坊,0.005764665988470668
上海,潍坊,0.010851135978297729
上海,濮阳,0.0
上海,濮阳,0.00033909799932180403
上海,烟台,0.004747371990505256
上海,烟台,0.00339097999321804
上海,烟台,0.03797897592404205
上海,烟台,0.017633095964733808
上海,牡丹江,0.003051881993896236
上海,玉林,0.001017293997965412
上海,珠海,0.00169548999660902
上海,珠海,0.002373685995252628
上海,珠海,0.008138351983723296
上海,珠海,0.0339097999321804
上海,百色,0.0006781959986436081
上海,盐城,0.002034587995930824
上海,盐城,0.026449643947100712
上海,盐城,0.026788741946422515
上海,盐城,0.03594438792811122
上海,石家庄,0.002373685995252628
上海,石家庄,0.01797219396405561
上海,石家庄,0.013224821973550356
上海,福州,0.0006781959986436081
上海,福州,0.011529331976941335
上海,福州,0.03221430993557138
上海,福州,0.050525601898948794
上海,秦皇岛,0.00033909799932180403
上海,绍兴,0.009494743981010512
上海,绍兴,0.01797219396405561
上海,绍兴,0.026788741946422515
上海,绍兴,0.043404543913190916
上海,绵阳,0.00033909799932180403
上海,绵阳,0.0006781959986436081
上海,绵阳,0.001017293997965412
上海,聊城,0.00169548999660902
上海,聊城,0.002034587995930824
上海,舟山,0.00033909799932180403
上海,舟山,0.002373685995252628
上海,舟山,0.007121057985757884
上海,舟山,0.04374364191251272
上海,芜湖,0.011529331976941335
上海,芜湖,0.015598507968802983
上海,芜湖,0.03221430993557138
上海,芜湖,0.04815191590369617
上海,苏州,0.0759579518480841
上海,苏州,0.17293997965412003
上海,苏州,0.26517463546965075
上海,苏州,0.4326890471346219
上海,荆门,0.00033909799932180403
上海,莆田,0.00033909799932180403
上海,莆田,0.00033909799932180403
上海,莆田,0.00033909799932180403
上海,菏泽,0.00033909799932180403
上海,菏泽,0.0
上海,菏泽,0.003051881993896236
上海,萍乡,0.0006781959986436081
上海,萍乡,0.00033909799932180403
上海,营口,0.0006781959986436081
上海,蚌埠,0.00033909799932180403
上海,蚌埠,0.007121057985757884
上海,蚌埠,0.004747371990505256
上海,衡阳,0.00033909799932180403
上海,衢州,0.00033909799932180403
上海,衢州,0.003051881993896236
上海,衢州,0.00508646998982706
上海,襄阳,0.004069175991861648
上海,西宁,0.0006781959986436081
上海,西宁,0.0013563919972872161
上海,西安,0.008138351983723296
上海,西安,0.02102407595795185
上海,西安,0.04849101390301797
上海,西安,0.039335367921329266
上海,许昌,0.0
上海,贵阳,0.00033909799932180403
上海,贵阳,0.001017293997965412
上海,贵阳,0.007460155985079688
上海,贵阳,0.008138351983723296
上海,赣州,0.001017293997965412
上海,赣州,0.00033909799932180403
上海,赣州,0.01017293997965412
上海,连云港,0.00033909799932180403
上海,连云港,0.003051881993896236
上海,连云港,0.004408273991183452
上海,通辽,0.00033909799932180403
上海,遵义,0.001017293997965412
上海,邢台,0.0
上海,邯郸,0.0
上海,邯郸,0.002034587995930824
上海,郑州,0.00508646998982706
上海,郑州,0.021363173957273652
上海,郑州,0.04645642590708715
上海,郑州,0.05866395388267209
上海,鄂尔多斯,0.00033909799932180403
上海,酒泉,0.0006781959986436081
上海,重庆,0.008816547982366904
上海,重庆,0.026449643947100712
上海,重庆,0.02712783994574432
上海,重庆,0.052899287894201424
上海,金华,0.002034587995930824
上海,金华,0.0054255679891488644
上海,金华,0.022380467955239063
上海,金华,0.05425567989148864
上海,铁岭,0.00033909799932180403
上海,铜陵,0.0
